RUN          SOR                 EOR
568721       1765160846113       1765164935297
568709       1765147700387       1765151301232
568695       1765136507425       1765138659566
568694       1765119988417       1765134682223
568678       1765087314262       1765110872571
568664       1765072227288       1765079272566
568663       1765051119834       1765071839414
568648       1765017779752       1765019403953
568647       1764998614491       1765017402943
568646       1764994330983       1764998352949
568631       1764983348338       1764985839559
568630       1764957409327       1764983081765
568617       1764944221657       1764949089748
568616       1764923611738       1764943748221
568602       1764904340420       1764911899962
568601       1764888873727       1764904031868
568600       1764883763335       1764888020851
568587       1764870224533       1764875026276
568586       1764848202356       1764869929847
568568       1764767510609       1764786230555
568539       1764648046610       1764652401617
568538       1764625392474       1764647749663
568526       1764607501686       1764608345001
568525       1764606511802       1764607207223
568524       1764605425948       1764606169699
568522       1764603140762       1764604549493
568521       1764601851878       1764602683628
568500       1764565743781       1764573549409
568486       1764544963126       1764547287132
568484       1764525804663       1764544201385
568468       1764504060033       1764505695189
568467       1764488928599       1764503526559
568452       1764476268544       1764479051220
568451       1764452861239       1764475294210
568422       1764405477822       1764411498402
568421       1764386864382       1764405206011
568409       1764348326412       1764373921822
568393       1764312417242       1764320605529
568380       1764300180657       1764301661660
568367       1764290013998       1764290958893
568365       1764284113564       1764286363129
568322       1764200680682       1764202236153
568321       1764183954906       1764197681014
568294       1764086135992       1764112274770
568282       1764065229111       1764066847401
568269       1764037846358       1764056785970
568256       1764006165376       1764013513109
568242       1763967527066       1763994571346
568229       1763954223668       1763957686343
568228       1763935750457       1763952026388
568227       1763932880020       1763935468762
568211       1763910561192       1763920095370
568210       1763901428978       1763910148846
568209       1763894734560       1763900051016
568191       1763863409878       1763876144043
568146       1763681900514       1763708899467
568117       1763579022032       1763610042331
568080       1763532239985       1763537662485
568067       1763477008259       1763504354269
568041       1763425465258       1763438518867
568040       1763420075912       1763425137073
568039       1763414769091       1763419170546
568026       1763378246605       1763400287264
568012       1763357344758       1763362981722
567999       1763332170563       1763345269531
567986       1763300873726       1763322795822
567967       1763223714307       1763239314457
567966       1763219316344       1763223295130
567939       1763172985062       1763178995551
567927       1763154510097       1763160075562
567925       1763146964679       1763151297674
567912       1763138974580       1763139611564
567911       1763138085708       1763138694306
567905       1763131206514       1763133759292
