pT(GeV) v2_1 v2_2
10.0 0.087211 0.072108
10.5 0.085470 0.071090
11.0 0.083829 0.070114
11.5 0.082280 0.069174
12.0 0.080814 0.068270
12.5 0.079425 0.067398
13.0 0.078107 0.066557
13.5 0.076854 0.065745
14.0 0.075660 0.064959
14.5 0.074523 0.064199
15.0 0.073437 0.063463
15.5 0.072399 0.062749
16.0 0.071406 0.062056
16.5 0.070454 0.061382
17.0 0.069541 0.060728
17.5 0.068664 0.060091
18.0 0.067820 0.059472
18.5 0.067009 0.058868
19.0 0.066227 0.058279
19.5 0.065474 0.057705
20.0 0.064746 0.057144
20.5 0.064044 0.056596
21.0 0.063364 0.056061
21.5 0.062707 0.055537
22.0 0.062071 0.055025
22.5 0.061454 0.054524
23.0 0.060856 0.054032
23.5 0.060275 0.053551
24.0 0.059711 0.053079
24.5 0.059163 0.052616
25.0 0.058630 0.052161
25.5 0.058111 0.051715
26.0 0.057605 0.051276
26.5 0.057113 0.050846
27.0 0.056633 0.050422
27.5 0.056165 0.050006
28.0 0.055707 0.049596
28.5 0.055261 0.049193
29.0 0.054824 0.048797
29.5 0.054398 0.048406
30.0 0.053980 0.048021
30.5 0.053572 0.047642
31.0 0.053172 0.047269
31.5 0.052780 0.046900
32.0 0.052396 0.046537
32.5 0.052020 0.046179
33.0 0.051651 0.045826
33.5 0.051288 0.045477
34.0 0.050932 0.045133
34.5 0.050583 0.044793
35.0 0.050240 0.044458
35.5 0.049903 0.044126
36.0 0.049571 0.043799
36.5 0.049245 0.043476
37.0 0.048924 0.043157
37.5 0.048608 0.042841
38.0 0.048297 0.042529
38.5 0.047991 0.042221
39.0 0.047690 0.041916
39.5 0.047392 0.041615
40.0 0.047100 0.041317
40.5 0.046811 0.041022
41.0 0.046526 0.040731
41.5 0.046245 0.040443
42.0 0.045968 0.040158
42.5 0.045695 0.039876
43.0 0.045425 0.039597
43.5 0.045159 0.039320
44.0 0.044896 0.039047
44.5 0.044636 0.038777
45.0 0.044380 0.038509
45.5 0.044126 0.038245
46.0 0.043876 0.037982
46.5 0.043628 0.037723
47.0 0.043383 0.037466
47.5 0.043142 0.037212
48.0 0.042902 0.036961
48.5 0.042666 0.036712
49.0 0.042432 0.036465
49.5 0.042200 0.036222
50.0 0.041971 0.035980
