pT v2
0.2 0.000788129
0.4 0.003576960
0.6 0.006403330
0.8 0.009298730
1.0 0.012271200
1.2 0.015299300
1.4 0.018340200
1.6 0.021345300
1.8 0.024242100
2.0 0.026913100
2.2 0.029247000
2.4 0.031179500
2.6 0.032679300
2.8 0.033725500
3.0 0.034325300
3.2 0.034514700
3.4 0.034334300
3.6 0.033848300
3.8 0.033138100
4.0 0.032291600
4.2 0.031399700
4.4 0.030514700
4.6 0.029644600
4.8 0.028790800
5.0 0.027937800
5.2 0.027070400
5.4 0.026178400
5.6 0.025245800
5.8 0.024289000
6.0 0.023353600
6.2 0.022499700
6.4 0.021767200
6.6 0.021143800
6.8 0.020589500
7.0 0.020057700
7.2 0.019517700
7.4 0.018981000
7.6 0.018482100
7.8 0.018039900
8.0 0.017636900
8.2 0.017234200
8.4 0.016806700
8.6 0.016366000
8.8 0.015927000
9.0 0.015486800
9.2 0.015041800
9.4 0.014594700
9.6 0.014161400
9.8 0.013755400
10.0 0.013384600
