pT v2
0.2 0.012705602
0.4 0.032083828
0.6 0.052172848
0.8 0.072996476
1.0 0.094260124
1.2 0.115492019
1.4 0.136060260
1.6 0.155317250
1.8 0.172705390
2.0 0.187736630
2.2 0.200092480
2.4 0.209642580
2.6 0.216445740
2.8 0.220679340
3.0 0.222566820
3.2 0.222515860
3.4 0.221072320
3.6 0.218699740
3.8 0.215722400
4.0 0.212379720
4.2 0.208855640
4.4 0.205320780
4.6 0.201804540
4.8 0.198157960
5.0 0.194296750
5.2 0.190328740
5.4 0.186450880
5.6 0.182727860
5.8 0.179095980
6.0 0.175449400
6.2 0.171686200
6.4 0.167862240
6.6 0.164083350
6.8 0.160384840
7.0 0.156845080
7.2 0.153561100
7.4 0.150505450
7.6 0.147597800
7.8 0.144802840
8.0 0.142092160
8.2 0.139459870
8.4 0.136882480
8.6 0.134351130
8.8 0.131918780
9.0 0.129610880
9.2 0.127354910
9.4 0.125028300
9.6 0.122582320
9.8 0.120160740
10.0 0.117946920
