pT v2
0.2 0.0106376
0.4 0.0234362
0.6 0.0366751
0.8 0.0504813
1.0 0.0648697
1.2 0.0796081
1.4 0.0942953
1.6 0.1084360
1.8 0.1214380
2.0 0.1328620
2.2 0.1424210
2.4 0.1498500
2.6 0.1551000
2.8 0.1583570
3.0 0.1599540
3.2 0.1602580
3.4 0.1596350
3.6 0.1583470
3.8 0.1565500
4.0 0.1543890
4.2 0.1518830
4.4 0.1490880
4.6 0.1462590
4.8 0.1436380
5.0 0.1412290
5.2 0.1389310
5.4 0.1366360
5.6 0.1341940
5.8 0.1315710
6.0 0.1288200
6.2 0.1259870
6.4 0.1231850
6.6 0.1205530
6.8 0.1181550
7.0 0.1158760
7.2 0.1135640
7.4 0.1111730
7.6 0.1087100
7.8 0.1062110
8.0 0.1037130
8.2 0.1013140
8.4 0.0990839
8.6 0.0971005
8.8 0.0954082
9.0 0.0938477
9.2 0.0922146
9.4 0.0905201
9.6 0.0888999
9.8 0.0874512
10.0 0.0861620
