pT	v2		v2(20% high q2)	v2(20% low q2)	v3
0,2	0,00262753	0,00415498	0,000788129	0,00171777
0,4	0,00765133	0,013034	0,00357696	0,00424423
0,6	0,01286		0,0220783	0,00640333	0,00682841
0,8	0,0183852	0,0313765	0,00929873	0,0095203
1	0,0242575	0,0409231	0,0122712	0,0124019
1,2	0,0303612	0,0506448	0,0152993	0,0155491
1,4	0,0365112	0,060378	0,0183402	0,0189429
1,6	0,0425099	0,0698712	0,0213453	0,0224975
1,8	0,0481694	0,0788767	0,0242421	0,0261539
2	0,0533568	0,0870955	0,0269131	0,0298192
2,2	0,0578774	0,0942098	0,029247	0,0333633
2,4	0,0615343	0,0999942	0,0311795	0,0366896
2,6	0,0642543	0,104261	0,0326793	0,0397342
2,8	0,0660274	0,10691		0,0337255	0,0424289
3	0,0668904	0,107958	0,0343253	0,0446566
3,2	0,0669249	0,107514	0,0345147	0,0463123
3,4	0,0662615	0,105781	0,0343343	0,0473376
3,6	0,0650708	0,103084	0,0338483	0,0477055
3,8	0,0635301	0,0997811	0,0331381	0,0474299
4	0,061782	0,096181	0,0322916	0,0465398
4,2	0,0598939	0,0925129	0,0313997	0,0450901
4,4	0,0579229	0,0889024	0,0305147	0,0432598
4,6	0,0559075	0,0854034	0,0296446	0,04128
4,8	0,0538866	0,082037	0,0287908	0,0393114
5	0,0519146	0,0787819	0,0279378	0,0374237
5,2	0,0500175	0,0756376	0,0270704	0,0355659
5,4	0,0482197	0,0726669	0,0261784	0,0336875
5,6	0,046565	0,0699432	0,0252458	0,0318548
5,8	0,0450534	0,0675056	0,024289	0,0301433
6	0,0436174	0,0652662	0,0233536	0,0285782
6,2	0,0422249	0,0631		0,0224997	0,0271649
6,4	0,0409059	0,0609558	0,0217672	0,0258674
6,6	0,0396888	0,0588068	0,0211438	0,0246289
6,8	0,0385326	0,0566282	0,0205895	0,0234313
7	0,0373692	0,0544745	0,0200577	0,0222626
7,2	0,0361796	0,0524102	0,0195177	0,0211252
7,4	0,0350002	0,0504515	0,018981	0,0200647
7,6	0,033886	0,0486558	0,0184821	0,0190955
7,8	0,0328303	0,0470396	0,0180399	0,0181973
8	0,03179		0,0455358	0,0176369	0,0173774
8,2	0,0307776	0,0441066	0,0172342	0,0166674
8,4	0,0298068	0,0427221	0,0168067	0,0160402
8,6	0,0288738	0,0413139	0,016366	0,0154591
8,8	0,0280081	0,0398636	0,015927	0,0149402
9	0,0272374	0,0384095	0,0154868	0,0144594
9,2	0,0265213	0,0370005	0,0150418	0,0139724
9,4	0,0257943	0,0356697	0,0145947	0,0134492
9,6	0,0250446	0,0344107	0,0141614	0,0129108
9,8	0,0243174	0,0332563	0,0137554	0,0123979
10	0,023652	0,032251	0,0133846	0,011916

