pT	v2 		v2(20% high q2)	v2(20% low q2)	v3

0,2	0,0106376	0,012705602	0,004406467	0,00182219
0,4	0,0234362	0,032083828	0,012619971	0,00576643
0,6	0,0366751	0,052172848	0,0209729	0,00995427
0,8	0,0504813	0,072996476	0,02939378	0,014488
1	0,0648697	0,094260124	0,03786341	0,0194093
1,2	0,0796081	0,115492019	0,04647448	0,0246357
1,4	0,0942953	0,13606026	0,05511649	0,0300928
1,6	0,108436	0,15531725	0,06349447	0,0355618
1,8	0,121438	0,17270539	0,0712426	0,0407931
2	0,132862	0,18773663	0,07799714	0,0455246
2,2	0,142421	0,20009248	0,08358584	0,0494537
2,4	0,14985		0,20964258	0,08806239	0,0524145
2,6	0,1551		0,21644574	0,09157824	0,0544536
2,8	0,158357	0,22067934	0,094302	0,0556806
3	0,159954	0,22256682	0,09638759	0,056195
3,2	0,160258	0,22251586	0,09786933	0,0560816
3,4	0,159635	0,22107232	0,09864699	0,0554799
3,6	0,158347	0,21869974	0,09873539	0,0546103
3,8	0,15655		0,2157224	0,09829716	0,0535329
4	0,154389	0,21237972	0,0974532	0,0522188
4,2	0,151883	0,20885564	0,09627761	0,05075
4,4	0,149088	0,20532078	0,09486347	0,0492866
4,6	0,146259	0,20180454	0,09331842	0,0479309
4,8	0,143638	0,19815796	0,09167522	0,0467294
5	0,141229	0,19429675	0,08993582	0,0456794
5,2	0,138931	0,19032874	0,08817263	0,0446738
5,4	0,136636	0,18645088	0,08651578	0,0435856
5,6	0,134194	0,18272786	0,08506836	0,0424195
5,8	0,131571	0,17909598	0,08370206	0,0411554
6	0,12882		0,1754494	0,08222188	0,0397633
6,2	0,125987	0,1716862	0,0806585	0,0383095
6,4	0,123185	0,16786224	0,07913607	0,0369178
6,6	0,120553	0,16408335	0,07768826	0,0357724
6,8	0,118155	0,16038484	0,07628374	0,0349029
7	0,115876	0,15684508	0,07489378	0,0341764
7,2	0,113564	0,1535611	0,07346144	0,0334934
7,4	0,111173	0,15050545	0,07200362	0,0328456
7,6	0,10871		0,1475978	0,07061652	0,0322262
7,8	0,106211	0,14480284	0,06936293	0,0315241
8	0,103713	0,14209216	0,06822881	0,0306747
8,2	0,101314	0,13945987	0,06709716	0,0297695
8,4	0,0990839	0,13688248	0,06583226	0,0289135
8,6	0,0971005	0,13435113	0,06450327	0,0281055
8,8	0,0954082	0,13191878	0,06318793	0,0272729
9	0,0938477	0,12961088	0,06181643	0,0263084
9,2	0,0922146	0,12735491	0,06027385	0,0251869
9,4	0,0905201	0,1250283	0,05853328	0,0240241
9,6	0,0888999	0,12258232	0,05677906	0,0229726
9,8	0,0874512	0,12016074	0,05521048	0,0222355
10	0,086162	0,11794692	0,0539058	0,0218514

