BinCenter_pT BinContent_Td160MeV
5.25 0.036861
5.75 0.0362838
6.25 0.0350898
6.75 0.0339634
7.25 0.0326309
7.75 0.0312367
8.25 0.0292961
8.75 0.0275737
9.25 0.0262658
9.75 0.0248467
10.25 0.0232909
10.75 0.0218931
11.25 0.0205286
11.75 0.0189929
12.25 0.0179391
12.75 0.0168219
13.25 0.015833
13.75 0.0150345
14.25 0.0143235
14.75 0.0131976
15.25 0.0125772
15.75 0.0120288
16.25 0.0113369
16.75 0.0109462
17.25 0.0102999
17.75 0.00988215
18.25 0.00945701
18.75 0.0091881
19.25 0.00891199
19.75 0.00831982
20.25 0.00821527
20.75 0.00785826
21.25 0.0075413
21.75 0.00735058
22.25 0.00706516
22.75 0.00673215
23.25 0.00674165
23.75 0.00664979
24.25 0.0064012
24.75 0.00625207
25.25 0.00601887
25.75 0.00585261
26.25 0.00581595
26.75 0.00549893
27.25 0.00530271
27.75 0.00523937
28.25 0.00509484
28.75 0.00510115
29.25 0.00495431
29.75 0.00489044
30.25 0.00476574
30.75 0.00479848
31.25 0.00480068
31.75 0.00457927
32.25 0.00452041
32.75 0.00441479
33.25 0.00463434
33.75 0.00420279
34.25 0.00404597
34.75 0.00420308
35.25 0.00398887
35.75 0.00409432
36.25 0.00404926
36.75 0.00391922
37.25 0.0040017
37.75 0.00380583
38.25 0.00379224
38.75 0.0038201
39.25 0.00372772
39.75 0.00363122
40.25 0.00346232
40.75 0.00349594
41.25 0.00343067
41.75 0.00345459
42.25 0.00334803
42.75 0.0032272
43.25 0.00326677
43.75 0.00323963
44.25 0.00327837
44.75 0.00311067
45.25 0.00305801
45.75 0.00285592
46.25 0.00285884
46.75 0.00290753
47.25 0.00319265
47.75 0.00281178
48.25 0.00316339
48.75 0.00295137
49.25 0.00296221
49.75 0.00289496
50.25 0.00300913
50.75 0.00277799
51.25 0.00254785
51.75 0.00285517
52.25 0.00278662
52.75 0.00275368
53.25 0.00247771
53.75 0.00256654
54.25 0.00276648
54.75 0.00273341
55.25 0.00263207
55.75 0.00258344
56.25 0.00259755
56.75 0.00254503
57.25 0.00257152
57.75 0.00252476
58.25 0.00253734
58.75 0.0025691
59.25 0.00229672
59.75 0.00233692
60.25 0.00249879
60.75 0.00245936
61.25 0.00235518
61.75 0.00222031
62.25 0.00238422
62.75 0.00245688
63.25 0.00221065
63.75 0.00219474
64.25 0.0023231
64.75 0.00228364
65.25 0.00214206
65.75 0.00201722
66.25 0.0021712
66.75 0.00203678
67.25 0.00228361
67.75 0.00197407
68.25 0.0022116
68.75 0.00210072
69.25 0.00208758
69.75 0.00199385
70.25 0.00206408
70.75 0.00194166
71.25 0.00209724
71.75 0.00197343
72.25 0.00205583
72.75 0.00184133
73.25 0.00179368
73.75 0.00192669
74.25 0.0019815
74.75 0.00177481
75.25 0.00196869
75.75 0.00188746
76.25 0.00201624
76.75 0.00188073
77.25 0.00186389
77.75 0.00188707
78.25 0.00179421
78.75 0.00198251
79.25 0.00186985
79.75 0.0016528
80.25 0.00167893
80.75 0.00184938
81.25 0.0016725
81.75 0.00180937
82.25 0.00181437
82.75 0.00168179
83.25 0.00165055
83.75 0.00172152
84.25 0.00189332
84.75 0.00172369
85.25 0.00155944
85.75 0.00177632
86.25 0.00161017
86.75 0.0016378
87.25 0.0018452
87.75 0.00166877
88.25 0.00174935
88.75 0.00155414
89.25 0.00172006
89.75 0.001424
90.25 0.00165595
90.75 0.0016582
91.25 0.00171092
91.75 0.00153755
92.25 0.00142085
92.75 0.00138436
93.25 0.00153337
93.75 0.00146257
94.25 0.00154983
94.75 0.00174238
95.25 0.00141113
95.75 0.00168591
96.25 0.00143789
96.75 0.00153068
97.25 0.00169961
97.75 0.00150962
98.25 0.00161323
98.75 0.00135312
99.25 0.00145963
99.75 0.00142452
100.25 0.00144188
100.75 0.0014975
101.25 0.00148838
101.75 0.00117077
