pT v2max v2min
5.10810 0.0422 0.0378
5.65820 0.0422 0.0378
6.12970 0.0431 0.0382
6.67980 0.0431 0.0382
7.22990 0.0440 0.0382
7.62280 0.0440 0.0387
8.09430 0.0440 0.0382
8.72300 0.0440 0.0382
9.66600 0.0440 0.0387
10.3733 0.0440 0.0387
11.3949 0.0440 0.0378
12.3379 0.0435 0.0378
13.3595 0.0431 0.0369
14.3026 0.0422 0.0365
15.3242 0.0422 0.0360
16.2672 0.0413 0.0352
17.2888 0.0413 0.0352
18.2318 0.0409 0.0347
19.1749 0.0400 0.0343
20.1179 0.0396 0.0338
21.2967 0.0387 0.0334
22.3969 0.0387 0.0325
23.4971 0.0382 0.0325
24.4401 0.0378 0.0321
25.3831 0.0374 0.0312
26.4833 0.0369 0.0307
27.5835 0.0365 0.0307
28.7623 0.0360 0.0307
29.8625 0.0360 0.0299
30.7269 0.0356 0.0290
31.6699 0.0352 0.0290
32.5344 0.0347 0.0294
33.7132 0.0343 0.0290
34.8134 0.0343 0.0281
35.8350 0.0334 0.0281
36.9352 0.0334 0.0285
38.1139 0.0334 0.0277
39.2141 0.0329 0.0272
40.0000 0.0329 0.0272
