pT v2
0.500000 0.025936
1.000000 0.060349
1.500000 0.078565
2.000000 0.099572
2.500000 0.120823
3.000000 0.145167
3.500000 0.162224
4.000000 0.166716
4.500000 0.162937
5.000000 0.157324
5.500000 0.139998
6.000000 0.124091
6.500000 0.114846
7.000000 0.102481
7.500000 0.096061
8.000000 0.093613
8.500000 0.084820
9.000000 0.076038
9.500000 0.074153
10.000000 0.069287
10.500000 0.068484
11.000000 0.067336
11.500000 0.062307
12.000000 0.060162
12.500000 0.060334
13.000000 0.059823
13.500000 0.058856
14.000000 0.058432
14.500000 0.053410
15.000000 0.051150
15.500000 0.055606
16.000000 0.051836
16.500000 0.050759
17.000000 0.049310
17.500000 0.047422
18.000000 0.045918
18.500000 0.046213
19.000000 0.045599
19.500000 0.044822
20.000000 0.043111
20.500000 0.043411
21.000000 0.041709
21.500000 0.041577
22.000000 0.039076
22.500000 0.040137
23.000000 0.039964
23.500000 0.040242
24.000000 0.038093
24.500000 0.038465
25.000000 0.035794
25.500000 0.033350
26.000000 0.035008
26.500000 0.035439
27.000000 0.035689
27.500000 0.036486
28.000000 0.034067
28.500000 0.032770
29.000000 0.034029
29.500000 0.033892
30.000000 0.032155
30.500000 0.032167
31.000000 0.035706
31.500000 0.032518
32.000000 0.030608
32.500000 0.031289
33.000000 0.033277
33.500000 0.029615
34.000000 0.031295
34.500000 0.030431
35.000000 0.032902
35.500000 0.031173
36.000000 0.031385
36.500000 0.030507
37.000000 0.027955
37.500000 0.029194
38.000000 0.029499
38.500000 0.029284
39.000000 0.030306
39.500000 0.030668
