pT v2_1 v2_2 v2_3
0.25 0.0118033 0.0102661 0.00971137
0.75 0.0381484 0.0331401 0.03346950
1.25 0.0745799 0.0645908 0.06466350
1.75 0.1104790 0.0941129 0.09374540
2.25 0.1395060 0.1167650 0.11560400
2.75 0.1577300 0.1317420 0.12965700
3.25 0.1651200 0.1384880 0.13640200
3.75 0.1643570 0.1403320 0.13788300
4.25 0.1576960 0.1385430 0.13592100
4.75 0.1485070 0.1352930 0.13320400
5.25 0.1395380 0.1330510 0.12828200
5.75 0.1309740 0.1289030 0.12431200
6.25 0.1234020 0.1261430 0.12036700
6.75 0.1172110 0.1223370 0.11725900
7.25 0.1104360 0.1189830 0.11004800
7.75 0.1060670 0.1185060 0.10757800
8.25 0.1010570 0.1125080 0.10212100
8.75 0.0963182 0.1129700 0.09913250
9.25 0.0910568 0.1041400 0.09484480
9.75 0.0891324 0.1049940 0.08830930
12.5 0.0783190 0.0984934 0.07848130
17.5 0.0601400 0.0806871 0.05617940
22.5 0.0509111 0.0726119 0.05235950
27.5 0.0404338 0.0716183 0.05396230
32.5 0.0209267 0.0682439 0.03005970
37.5 0.0249438 0.0535833 0.03337510
47.5 0.0249438 0.0535833 0.03337510
