POWLANG - Pb-Pb 0-10 - D-meson RAA ratios - HTL
  ptmin  ptmax   Raa(highecc)/Raa(unb)    Raa(lowecc)/Raa(unb)
  0.0      0.2        1.004               1.013
  0.2      0.4        0.980               1.001
  0.4      0.6        0.984               1.007
  0.6      0.8        0.977               1.010
  0.8      1.0        0.981               1.013
  1.0      1.2        0.977               1.007
  1.2      1.4        0.975               1.010
  1.4      1.6        0.973               1.002
  1.6      1.8        0.980               1.013
  1.8      2.0        0.987               1.011
  2.0      2.5        0.994               1.005
  2.5      3.0        1.010               0.997
  3.0      3.5        1.038               0.986
  3.5      4.0        1.054               0.977
  4.0      5.0        1.074               0.957
  5.0      6.0        1.091               0.954
  6.0      7.0        1.089               0.967
  7.0      8.0        1.090               0.971
  8.0      9.0        1.091               0.948
  9.0     10.0        1.081               0.903
 10.0     12.0        1.117               0.983
 12.0     14.0        1.118               0.998
 14.0     16.0        1.185               1.021
POWLANG - Pb-Pb 0-10 - D-meson RAA ratios - lQCD
  ptmin  ptmax  Raa(highecc)/Raa(unb)    Raa(lowecc)/Raa(unb)
   0.0     0.2        0.995               1.008
   0.2     0.4        1.002               1.015
   0.4     0.6        0.986               1.002
   0.6     0.8        0.978               1.006
   0.8     1.0        0.977               1.008
   1.0     1.2        0.979               1.013
   1.2     1.4        0.976               1.013
   1.4     1.6        0.976               1.012
   1.6     1.8        0.980               1.010
   1.8     2.0        0.982               1.008
   2.0     2.5        0.997               1.005
   2.5     3.0        1.019               0.993
   3.0     3.5        1.039               0.976
   3.5     4.0        1.052               0.971
   4.0     5.0        1.066               0.965
   5.0     6.0        1.056               0.966
   6.0     7.0        1.041               0.972
   7.0     8.0        1.059               0.981
   8.0     9.0        1.033               0.966
   9.0    10.0        1.051               1.010
  10.0    12.0        1.059               1.008
  12.0    14.0        1.025               0.993
  14.0    16.0        1.085               0.987
