POWLANG - Pb-Pb 30-50 - RAA ratios - HTL
  ptmin  ptmax   Raa(highecc)/Raa(unb)    Raa(lowecc)/Raa(unb)
  0.0      0.2        1.013               0.996
  0.2      0.4        1.009               0.993
  0.4      0.6        0.993               0.999
  0.6      0.8        0.987               1.011
  0.8      1.0        0.970               1.015
  1.0      1.2        0.962               1.028
  1.2      1.4        0.946               1.026
  1.4      1.6        0.950               1.023
  1.6      1.8        0.950               1.022
  1.8      2.0        0.965               1.015
  2.0      2.5        0.984               1.000
  2.5      3.0        1.031               0.977
  3.0      3.5        1.080               0.962
  3.5      4.0        1.112               0.955
  4.0      5.0        1.129               0.954
  5.0      6.0        1.143               0.967
  6.0      7.0        1.135               0.961
  7.0      8.0        1.129               0.953
  8.0      9.0        1.122               0.951
  9.0     10.0        1.117               0.953
 10.0     12.0        1.130               0.991
 12.0     14.0        1.117               0.961
 14.0     16.0        1.076               0.926
POWLANG - Pb-Pb 30-50 - RAA ratios - lQCD
  ptmin  ptmax  Raa(highecc)/Raa(unb)    Raa(lowecc)/Raa(unb)
   0.0     0.2        1.016               1.001
   0.2     0.4        1.017               0.999
   0.4     0.6        0.994               1.006
   0.6     0.8        0.980               1.008
   0.8     1.0        0.963               1.023
   1.0     1.2        0.952               1.033
   1.2     1.4        0.945               1.027
   1.4     1.6        0.946               1.025
   1.6     1.8        0.946               1.011
   1.8     2.0        0.964               1.008
   2.0     2.5        1.002               0.992
   2.5     3.0        1.054               0.966
   3.0     3.5        1.093               0.958
   3.5     4.0        1.106               0.952
   4.0     5.0        1.096               0.970
   5.0     6.0        1.076               0.985
   6.0     7.0        1.061               0.986
   7.0     8.0        1.050               0.986
   8.0     9.0        1.038               0.983
   9.0    10.0        1.057               0.983
  10.0    12.0        1.034               1.006
  12.0    14.0        1.020               0.973
  14.0    16.0        1.042               0.973
