ptmin ptmax Raa(highecc)/Raa(unb) Raa(lowecc)/Raa(unb)
0.00 0.20 1.016 1.001
0.20 0.40 1.017 0.999
0.40 0.60 0.994 1.006
0.60 0.80 0.980 1.008
0.80 1.00 0.963 1.023
1.00 1.20 0.952 1.033
1.20 1.40 0.945 1.027
1.40 1.60 0.946 1.025
1.60 1.80 0.946 1.011
1.80 2.00 0.964 1.008
2.00 2.50 1.002 0.992
2.50 3.00 1.054 0.966
3.00 3.50 1.093 0.958
3.50 4.00 1.106 0.952
4.00 5.00 1.096 0.970
5.00 6.00 1.076 0.985
6.00 7.00 1.061 0.986
7.00 8.00 1.050 0.986
8.00 9.00 1.038 0.983
9.00 10.0 1.057 0.983
10.0 12.0 1.034 1.006
12.0 14.0 1.020 0.973
14.0 16.0 1.042 0.973
