POWLANG - Pb-Pb 30-50 - RAA ratios - HTL
  ptmin  ptmax   Raa(highecc)/Raa(unb)    Raa(lowecc)/Raa(unb)
  0.0      0.2        1.013               1.027
  0.2      0.4        1.009               1.036
  0.4      0.6        0.993               1.035
  0.6      0.8        0.987               1.049
  0.8      1.0        0.970               1.052
  1.0      1.2        0.962               1.054
  1.2      1.4        0.946               1.051
  1.4      1.6        0.950               1.039
  1.6      1.8        0.950               1.025
  1.8      2.0        0.965               1.007
  2.0      2.5        0.984               0.979
  2.5      3.0        1.031               0.945
  3.0      3.5        1.080               0.927
  3.5      4.0        1.112               0.918
  4.0      5.0        1.129               0.926
  5.0      6.0        1.143               0.944
  6.0      7.0        1.135               0.966
  7.0      8.0        1.129               0.978
  8.0      9.0        1.122               0.950
  9.0     10.0        1.117               0.999
 10.0     12.0        1.130               1.015
 12.0     14.0        1.117               0.972
 14.0     16.0        1.076               0.969
POWLANG - Pb-Pb 30-50 - RAA ratios - lQCD
  ptmin  ptmax  Raa(highecc)/Raa(unb)    Raa(lowecc)/Raa(unb)
   0.0     0.2        1.016               1.044
   0.2     0.4        1.017               1.033
   0.4     0.6        0.994               1.032
   0.6     0.8        0.980               1.044
   0.8     1.0        0.963               1.053
   1.0     1.2        0.952               1.049
   1.2     1.4        0.945               1.044
   1.4     1.6        0.946               1.034
   1.6     1.8        0.946               1.007
   1.8     2.0        0.964               0.997
   2.0     2.5        1.002               0.963
   2.5     3.0        1.054               0.930
   3.0     3.5        1.093               0.927
   3.5     4.0        1.106               0.941
   4.0     5.0        1.096               0.969
   5.0     6.0        1.076               0.983
   6.0     7.0        1.061               0.991
   7.0     8.0        1.050               1.003
   8.0     9.0        1.038               0.995
   9.0    10.0        1.057               0.999
  10.0    12.0        1.034               1.007
  12.0    14.0        1.020               0.978
  14.0    16.0        1.042               0.997
