ptmin ptmax Raa(highecc)/Raa(unb) Raa(lowecc)/Raa(unb)
0.00 0.20 1.013 1.027
0.20 0.40 1.009 1.036
0.40 0.60 0.993 1.035
0.60 0.80 0.987 1.049
0.80 1.00 0.970 1.052
1.00 1.20 0.962 1.054
1.20 1.40 0.946 1.051
1.40 1.60 0.950 1.039
1.60 1.80 0.950 1.025
1.80 2.00 0.965 1.007
2.00 2.50 0.984 0.979
2.50 3.00 1.031 0.945
3.00 3.50 1.080 0.927
3.50 4.00 1.112 0.918
4.00 5.00 1.129 0.926
5.00 6.00 1.143 0.944
6.00 7.00 1.135 0.966
7.00 8.00 1.129 0.978
8.00 9.00 1.122 0.950
9.00 10.0 1.117 0.999
10.0 12.0 1.130 1.015
12.0 14.0 1.117 0.972
14.0 16.0 1.076 0.969
