ptmin ptmax Raa(highecc)/Raa(unb) Raa(lowecc)/Raa(unb)
0.00 0.20 1.016 1.044
0.20 0.40 1.017 1.033
0.40 0.60 0.994 1.032
0.60 0.80 0.980 1.044
0.80 1.00 0.963 1.053
1.00 1.20 0.952 1.049
1.20 1.40 0.945 1.044
1.40 1.60 0.946 1.034
1.60 1.80 0.946 1.007
1.80 2.00 0.964 0.997
2.00 2.50 1.002 0.963
2.50 3.00 1.054 0.930
3.00 3.50 1.093 0.927
3.50 4.00 1.106 0.941
4.00 5.00 1.096 0.969
5.00 6.00 1.076 0.983
6.00 7.00 1.061 0.991
7.00 8.00 1.050 1.003
8.00 9.00 1.038 0.995
9.00 10.0 1.057 0.999
10.0 12.0 1.034 1.007
12.0 14.0 1.020 0.978
14.0 16.0 1.042 0.997
