POWLANG - Pb-Pb 30-50 - RAA ratios - HTL
  ptmin  ptmax   Raa(highecc)/Raa(unb)    Raa(lowecc)/Raa(unb)
  0.0      0.2        1.013               0.984
  0.2      0.4        1.009               0.995
  0.4      0.6        0.993               1.000
  0.6      0.8        0.987               1.007
  0.8      1.0        0.970               1.009
  1.0      1.2        0.962               1.016
  1.2      1.4        0.946               1.012
  1.4      1.6        0.950               1.017
  1.6      1.8        0.950               1.012
  1.8      2.0        0.965               1.008
  2.0      2.5        0.984               0.999
  2.5      3.0        1.031               0.991
  3.0      3.5        1.080               0.981
  3.5      4.0        1.112               0.973
  4.0      5.0        1.129               0.973
  5.0      6.0        1.143               0.980
  6.0      7.0        1.135               0.979
  7.0      8.0        1.129               0.969
  8.0      9.0        1.122               0.973
  9.0     10.0        1.117               0.969
 10.0     12.0        1.130               0.969
 12.0     14.0        1.117               1.018
 14.0     16.0        1.076               0.920

POWLANG - Pb-Pb 30-50 - RAA ratios - lQCD
  ptmin  ptmax  Raa(highecc)/Raa(unb)    Raa(lowecc)/Raa(unb)
   0.0     0.2        1.016               0.999
   0.2     0.4        1.017               1.005
   0.4     0.6        0.994               1.003
   0.6     0.8        0.980               1.004
   0.8     1.0        0.963               1.013
   1.0     1.2        0.952               1.017
   1.2     1.4        0.945               1.012
   1.4     1.6        0.946               1.014
   1.6     1.8        0.946               1.004
   1.8     2.0        0.964               1.006
   2.0     2.5        1.002               0.997
   2.5     3.0        1.054               0.984
   3.0     3.5        1.093               0.977
   3.5     4.0        1.106               0.976
   4.0     5.0        1.096               0.983
   5.0     6.0        1.076               0.987
   6.0     7.0        1.061               0.988
   7.0     8.0        1.050               0.988
   8.0     9.0        1.038               0.989
   9.0    10.0        1.057               0.989
  10.0    12.0        1.034               1.005
  12.0    14.0        1.020               0.980
  14.0    16.0        1.042               1.004
