ptmin ptmax Raa(highecc)/Raa(unb) Raa(lowecc)/Raa(unb)
0.00 0.20 1.016 0.999
0.20 0.40 1.017 1.005
0.40 0.60 0.994 1.003
0.60 0.80 0.980 1.004
0.80 1.00 0.963 1.013
1.00 1.20 0.952 1.017
1.20 1.40 0.945 1.012
1.40 1.60 0.946 1.014
1.60 1.80 0.946 1.004
1.80 2.00 0.964 1.006
2.00 2.50 1.002 0.997
2.50 3.00 1.054 0.984
3.00 3.50 1.093 0.977
3.50 4.00 1.106 0.976
4.00 5.00 1.096 0.983
5.00 6.00 1.076 0.987
6.00 7.00 1.061 0.988
7.00 8.00 1.050 0.988
8.00 9.00 1.038 0.989
9.00 10.0 1.057 0.989
10.0 12.0 1.034 1.005
12.0 14.0 1.020 0.980
14.0 16.0 1.042 1.004
