POWLANG - D meson - v3 - Pb-Pb sqrt(s)=5.02 TeV - Centr 0-10%
pt(GeV/c)   v3(HTL)
 0.13   -0.0051
 0.31   -0.0004
 0.51   -0.0059
 0.70   -0.0087
 0.90   -0.0077
 1.10   -0.0134
 1.30   -0.0112
 1.50   -0.0081
 1.80   -0.0006
 2.19   0.0201
 2.59   0.0393
 2.99   0.0548
 3.39   0.0690
 3.78   0.0719
 4.23   0.0723
 4.73   0.0669
 5.27   0.0542
 5.79   0.0577
 6.43   0.0378
 7.44   0.0332
 8.81   0.0134
10.84   0.0301
pt(GeV/c)    v3(lQCD)
 0.13   -0.0029
 0.31   -0.0025
 0.51   0.0014
 0.70   -0.0023
 0.90   -0.0072
 1.10   -0.0059
 1.30   -0.0043
 1.50   0.0025
 1.80   0.0152
 2.19   0.0368
 2.59   0.0557
 2.99   0.0716
 3.39   0.0794
 3.79   0.0759
 4.23   0.0649
 4.73   0.0423
 5.28   0.0311
 5.79   0.0214
 6.46   0.0179
 7.46   0.0125
 8.87   0.0072
10.89   0.0024



POWLANG - D meson - v3 - Pb-Pb sqrt(s)=5.02 TeV - Centr 10-30%
pt(GeV/c)   v3(HTL)
 0.12   0.0004
 0.31   0.0051
 0.51   -0.0060
 0.70   -0.0046
 0.90   -0.0058
 1.10   -0.0070
 1.30   -0.0061
 1.50   -0.0034
 1.80   0.0093
 2.19   0.0285
 2.59   0.0460
 2.99   0.0644
 3.39   0.0711
 3.79   0.0774
 4.23   0.0837
 4.73   0.0754
 5.27   0.0700
 5.79   0.0547
 6.44   0.0430
 7.45   0.0422
 8.84   0.0401
10.87   0.0412
pt(GeV/c)    v3(lQCD)
 0.13   0.0038
 0.31   -0.0033
 0.51   0.0005
 0.70   -0.0044
 0.90   -0.0012
 1.10   -0.0003
 1.30   0.0034
 1.50   0.0111
 1.80   0.0239
 2.19   0.0482
 2.59   0.0667
 2.99   0.0796
 3.39   0.0797
 3.79   0.0746
 4.23   0.0614
 4.73   0.0483
 5.28   0.0311
 5.79   0.0234
 6.46   0.0115
 7.46   0.0144
 8.88   0.0012
10.88   0.0118


POWLANG - D meson - v3 - Pb-Pb sqrt(s)=5.02 TeV - Centr 30-50%
pt(GeV/c)   v3(HTL)
 0.13   0.0012
 0.31   0.0017
 0.51   -0.0011
 0.70   -0.0007
 0.90   -0.0012
 1.10   0.0018
 1.30   0.0059
 1.50   0.0152
 1.80   0.0268
 2.19   0.0464
 2.59   0.0583
 2.99   0.0702
 3.39   0.0714
 3.79   0.0647
 4.23   0.0685
 4.73   0.0531
 5.28   0.0458
 5.79   0.0491
 6.45   0.0377
 7.45   0.0436
 8.84   0.0380
10.85   0.0251
pt(GeV/c)    v3(lQCD)
 0.13   0.0001
 0.31   -0.0007
 0.50   -0.0035
 0.70   -0.0007
 0.90   -0.0007
 1.10   0.0099
 1.30   0.0185
 1.50   0.0317
 1.79   0.0461
 2.19   0.0648
 2.59   0.0761
 2.99   0.0748
 3.39   0.0628
 3.79   0.0507
 4.24   0.0391
 4.74   0.0269
 5.28   0.0213
 5.79   0.0136
 6.46   0.0213
 7.46   0.0112
 8.87   0.0051
10.88   0.0077
