pT v2min v2max
0.00 0.00000 0.00000
0.20 0.00139 0.00152
0.40 0.00488 0.00548
0.60 0.01055 0.01189
0.80 0.01806 0.02038
1.00 0.02708 0.03054
1.20 0.03735 0.04196
1.40 0.04811 0.05382
1.60 0.05876 0.06541
1.80 0.06883 0.07617
2.00 0.07776 0.08547
2.20 0.08509 0.09282
2.40 0.09052 0.09810
2.60 0.09277 0.10239
2.80 0.09294 0.10452
3.00 0.09127 0.10450
3.20 0.08806 0.10252
3.40 0.08340 0.09857
3.60 0.07781 0.09308
3.80 0.07191 0.08664
4.00 0.06632 0.08010
4.20 0.06072 0.07314
4.40 0.05602 0.06694
4.60 0.05130 0.06060
4.80 0.04742 0.05514
5.00 0.04414 0.05043
5.20 0.04111 0.04610
5.40 0.03881 0.04270
5.60 0.03672 0.03970
5.80 0.03487 0.03713
6.00 0.03387 0.03555
6.20 0.03327 0.03451
6.40 0.03201 0.03291
6.60 0.03132 0.03196
6.80 0.03110 0.03155
7.00 0.03039 0.03071
7.20 0.02959 0.02981
7.40 0.02947 0.02962
7.60 0.02976 0.02986
7.80 0.02956 0.02964
8.00 0.02908 0.02913
8.20 0.02897 0.02901
8.40 0.02882 0.02884
8.60 0.02870 0.02871
8.80 0.02863 0.02864
9.00 0.02847 0.02847
9.20 0.02851 0.02851
9.40 0.02849 0.02850
9.60 0.02862 0.02862
9.80 0.02871 0.02871
10.0 0.02862 0.02862
10.2 0.02841 0.02841
10.4 0.02845 0.02845
10.6 0.02869 0.02869
10.8 0.02879 0.02879
11.0 0.02881 0.02881
11.2 0.02882 0.02882
11.4 0.02893 0.02893
11.6 0.02915 0.02915
11.8 0.02915 0.02915
12.0 0.02912 0.02912
