pT v2min v2max boh boh boh boh
0.00000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0000001 0.0000001
0.20000000 0.0000509 0.0002287 -0.0000092 -0.0000092 -0.0000043 0.0000097
0.60000000 0.0003323 0.0011849 0.0000266 0.0000266 0.0000570 0.0001400
0.40000000 0.0001698 0.0006473 0.0000067 0.0000067 0.0000211 0.0000626
1.00000000 0.0007028 0.0023938 0.0000770 0.0000770 0.0001525 0.0003546
0.80000000 0.0005147 0.0017797 0.0000508 0.0000508 0.0001022 0.0002401
1.40000000 0.0010762 0.0036270 0.0001409 0.0001410 0.0002675 0.0006165
1.20000000 0.0008910 0.0030124 0.0001066 0.0001066 0.0002075 0.0004805
1.80000000 0.0014320 0.0048267 0.0002206 0.0002206 0.0003964 0.0009052
1.60000000 0.0012560 0.0042311 0.0001796 0.0001796 0.0003311 0.0007596
2.20000000 0.0017739 0.0059984 0.0003121 0.0003121 0.0005343 0.0012084
2.00000000 0.0016048 0.0054163 0.0002647 0.0002647 0.0004641 0.0010546
2.60000000 0.0020966 0.0071292 0.0004177 0.0004177 0.0006827 0.0015283
2.40000000 0.0019383 0.0065704 0.0003629 0.0003629 0.0006071 0.0013663
3.00000000 0.0023920 0.0081985 0.0005401 0.0005401 0.0008418 0.0018622
2.80000000 0.0022481 0.0076725 0.0004766 0.0004766 0.0007609 0.0016937
3.40000000 0.0026902 0.0092621 0.0006483 0.0006483 0.0009856 0.0021647
3.20000000 0.0025405 0.0087273 0.0005921 0.0005921 0.0009117 0.0020103
3.80000000 0.0029856 0.0103269 0.0007705 0.0007705 0.0011419 0.0024876
3.60000000 0.0028392 0.0097969 0.0007079 0.0007079 0.0010626 0.0023242
4.20000000 0.0032655 0.0113582 0.0009057 0.0009057 0.0013079 0.0028250
4.00000000 0.0031281 0.0108481 0.0008363 0.0008364 0.0012237 0.0026547
4.60000000 0.0035239 0.0123395 0.0010544 0.0010545 0.0014823 0.0031723
4.40000000 0.0033976 0.0118556 0.0009784 0.0009784 0.0013941 0.0029977
5.00000000 0.0037593 0.0132662 0.0012174 0.0012174 0.0016648 0.0035262
4.80000000 0.0036445 0.0128098 0.0011341 0.0011341 0.0015725 0.0033485
5.40000000 0.0039716 0.0141367 0.0013948 0.0013949 0.0018549 0.0038850
5.20000000 0.0038684 0.0137086 0.0013043 0.0013043 0.0017589 0.0037051
5.80000000 0.0041607 0.0149496 0.0015864 0.0015864 0.0020521 0.0042463
5.60000000 0.0040691 0.0145504 0.0014889 0.0014889 0.0019527 0.0040655
6.20000000 0.0043273 0.0157054 0.0017916 0.0017916 0.0022557 0.0046079
6.00000000 0.0042468 0.0153345 0.0016873 0.0016874 0.0021532 0.0044272
6.60000000 0.0044715 0.0164037 0.0020112 0.0020113 0.0024666 0.0049708
6.40000000 0.0044023 0.0160619 0.0018995 0.0018996 0.0023603 0.0047893
7.00000000 0.0045923 0.0170412 0.0022454 0.0022454 0.0026844 0.0053335
6.80000000 0.0045349 0.0167302 0.0021265 0.0021266 0.0025747 0.0051523
7.40000000 0.0046899 0.0176164 0.0024935 0.0024935 0.0029086 0.0056936
7.20000000 0.0046440 0.0173366 0.0023677 0.0023678 0.0027958 0.0055140
7.80000000 0.0047650 0.0181302 0.0027552 0.0027552 0.0031387 0.0060496
7.60000000 0.0047302 0.0178809 0.0026227 0.0026227 0.0030230 0.0058723
8.20000000 0.0048194 0.0185846 0.0030295 0.0030295 0.0033743 0.0063997
8.00000000 0.0047947 0.0183646 0.0028908 0.0028909 0.0032559 0.0062255
8.60000000 0.0048547 0.0189828 0.0033153 0.0033153 0.0036145 0.0067424
8.40000000 0.0048393 0.0187905 0.0031710 0.0031711 0.0034939 0.0065721
9.00000000 0.0048730 0.0193280 0.0036112 0.0036112 0.0038588 0.0070763
8.80000000 0.0048659 0.0191618 0.0034621 0.0034621 0.0037362 0.0069105
9.40000000 0.0048762 0.0196238 0.0039156 0.0039156 0.0041063 0.0074003
9.20000000 0.0048764 0.0194819 0.0037624 0.0037625 0.0039822 0.0072396
9.80000000 0.0048661 0.0198733 0.0042264 0.0042264 0.0043559 0.0077129
9.60000000 0.0048727 0.0197541 0.0040703 0.0040703 0.0042309 0.0075581
10.2000000 0.0048445 0.0200799 0.0045417 0.0045417 0.0046065 0.0080130
10.0000000 0.0048566 0.0199817 0.0043836 0.0043836 0.0044811 0.0078646
10.6000000 0.0048136 0.0202473 0.0048598 0.0048598 0.0048576 0.0082997
10.4000000 0.0048301 0.0201683 0.0047005 0.0047005 0.0047321 0.0081581
11.0000000 0.0047752 0.0203792 0.0051791 0.0051792 0.0051083 0.0085728
10.8000000 0.0047952 0.0203175 0.0050194 0.0050194 0.0049830 0.0084380
11.4000000 0.0047311 0.0204793 0.0054982 0.0054983 0.0053583 0.0088318
11.2000000 0.0047537 0.0204330 0.0053388 0.0053388 0.0052334 0.0087041
11.8000000 0.0046829 0.0205509 0.0058155 0.0058155 0.0056066 0.0090767
11.6000000 0.0047074 0.0205184 0.0056572 0.0056572 0.0054827 0.0089561
12.2000000 0.0046323 0.0205974 0.0061293 0.0061293 0.0058528 0.0093073
12.0000000 0.0046578 0.0205771 0.0059729 0.0059729 0.0057300 0.0091938
12.6000000 0.0045805 0.0206217 0.0064383 0.0064384 0.0060962 0.0095238
12.4000000 0.0046065 0.0206122 0.0062845 0.0062845 0.0059749 0.0094173
13.0000000 0.0045286 0.0206262 0.0067410 0.0067411 0.0063360 0.0097263
12.8000000 0.0045545 0.0206263 0.0065906 0.0065906 0.0062165 0.0096268
13.4000000 0.0044775 0.0206133 0.0070362 0.0070363 0.0065718 0.0099151
13.2000000 0.0045029 0.0206218 0.0068896 0.0068897 0.0064544 0.0098224
13.8000000 0.0044278 0.0205849 0.0073229 0.0073230 0.0068030 0.0100905
13.6000000 0.0044524 0.0206009 0.0071807 0.0071807 0.0066880 0.0100044
14.2000000 0.0043801 0.0205424 0.0076002 0.0076002 0.0070292 0.0102532
14.0000000 0.0044037 0.0205653 0.0074628 0.0074628 0.0069168 0.0101734
14.6000000 0.0043348 0.0204874 0.0078675 0.0078675 0.0072502 0.0104037
14.4000000 0.0043572 0.0205164 0.0077351 0.0077351 0.0071404 0.0103299
15.0000000 0.0042920 0.0204209 0.0081247 0.0081247 0.0074659 0.0105429
14.8000000 0.0043131 0.0204555 0.0079974 0.0079974 0.0073587 0.0104746
15.4000000 0.0042518 0.0203440 0.0083716 0.0083716 0.0076762 0.0106716
