pT v2min v2max
0.1 -5.23944E-5 -1.07336E-4
0.3 -4.07649E-4 -6.26899E-4
0.5 -0.00160 -0.00185
0.7 -0.00254 -0.00311
0.9 -0.00258 -0.00304
1.1 -0.00190 -0.00222
1.3 0.000666 0.00114
1.5 0.004240 0.00532
1.7 0.009550 0.01089
1.9 0.014540 0.01732
2.1 0.017980 0.02293
2.3 0.023850 0.02981
2.5 0.029670 0.03556
2.7 0.035950 0.04149
2.9 0.042030 0.04742
3.1 0.045720 0.05203
3.3 0.049140 0.05664
3.5 0.049840 0.05835
3.7 0.051740 0.06125
3.9 0.052480 0.06287
4.1 0.052870 0.06398
4.3 0.051370 0.06311
4.5 0.051410 0.06356
4.7 0.049930 0.06241
4.9 0.047970 0.06067
5.1 0.047260 0.0602
5.3 0.044970 0.05799
5.5 0.043850 0.05684
5.7 0.041510 0.05434
5.9 0.039910 0.05257
6.1 0.038320 0.05065
6.3 0.037450 0.04921
6.5 0.035030 0.04633
6.7 0.034300 0.04504
6.9 0.033890 0.04414
7.1 0.031880 0.04166
7.3 0.031580 0.04101
7.5 0.030710 0.03965
7.7 0.028520 0.03689
7.9 0.027070 0.03509
