# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 21 16:45:22 CET 2026
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 2680, ebeam2 = 2680
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 100
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0.2506 7.5326e+05 3.7398e+05 1.1735e+06 4.0178e+05 1.1312e+06 6.1071e+05 9.3693e+05 6.7482e+05 7.6396e+05 9.9192e+05 5.4290e+05 1.1312e+06 4.0178e+05
0.5013 1.4526e+06 7.3073e+05 2.2430e+06 7.8452e+05 2.1605e+06 1.1792e+06 1.8042e+06 1.3120e+06 1.4716e+06 1.8932e+06 1.0529e+06 2.1605e+06 7.8452e+05
0.7519 2.0954e+06 1.0669e+06 3.2097e+06 1.1439e+06 3.0910e+06 1.7048e+06 2.5959e+06 1.9040e+06 2.1226e+06 2.7116e+06 1.5263e+06 3.0910e+06 1.1439e+06
1.0025 2.6669e+06 1.3756e+06 4.0512e+06 1.4724e+06 3.9016e+06 2.1764e+06 3.2929e+06 2.4374e+06 2.7019e+06 3.4298e+06 1.9521e+06 3.9016e+06 1.4724e+06
1.2531 3.1566e+06 1.6515e+06 4.7539e+06 1.7643e+06 4.5794e+06 2.5850e+06 3.8824e+06 2.9028e+06 3.1979e+06 4.0353e+06 2.3220e+06 4.5794e+06 1.7643e+06
1.5038 3.5601e+06 1.8912e+06 5.3166e+06 2.0161e+06 5.1237e+06 2.9266e+06 4.3604e+06 3.2956e+06 3.6055e+06 4.5256e+06 2.6313e+06 5.1237e+06 2.0161e+06
1.7544 3.8787e+06 2.0930e+06 5.7481e+06 2.2264e+06 5.5432e+06 3.2014e+06 4.7297e+06 3.6157e+06 3.9243e+06 4.9061e+06 2.8788e+06 5.5432e+06 2.2264e+06
2.0050 4.1157e+06 2.2565e+06 6.0589e+06 2.3952e+06 5.8480e+06 3.4111e+06 4.9962e+06 3.8651e+06 4.1576e+06 5.1833e+06 3.0656e+06 5.8480e+06 2.3952e+06
2.2556 4.2767e+06 2.3826e+06 6.2617e+06 2.5236e+06 6.0503e+06 3.5596e+06 5.1681e+06 4.0478e+06 4.3103e+06 5.3662e+06 3.1944e+06 6.0503e+06 2.5236e+06
2.5063 4.3690e+06 2.4730e+06 6.3696e+06 2.6138e+06 6.1624e+06 3.6521e+06 5.2555e+06 4.1688e+06 4.3896e+06 5.4650e+06 3.2698e+06 6.1624e+06 2.6138e+06
2.7569 4.4001e+06 2.5300e+06 6.3941e+06 2.6683e+06 6.1952e+06 3.6942e+06 5.2682e+06 4.2339e+06 4.4042e+06 5.4890e+06 3.2973e+06 6.1952e+06 2.6683e+06
3.0075 4.3776e+06 2.5566e+06 6.3466e+06 2.6907e+06 6.1589e+06 3.6916e+06 5.2165e+06 4.2491e+06 4.3632e+06 5.4480e+06 3.2829e+06 6.1589e+06 2.6907e+06
