# pT range: 0-36 GeV, 72 bins (width 0.5 GeV), values at bin centers
PtCent R_AA
 0.25 0.528571
 0.75 0.528571
 1.25 0.528571
 1.75 0.528571
 2.25 0.528571
 2.75 0.528571
 3.25 0.540647
 3.75 0.578415
 4.25 0.651670
 4.75 0.694737
 5.25 0.736540
 5.75 0.758491
 6.25 0.778795
 6.75 0.795527
 7.25 0.806129
 7.75 0.812710
 8.25 0.819290
 8.75 0.826741
 9.25 0.834237
 9.75 0.840817
10.25 0.847397
10.75 0.853571
11.25 0.853571
11.75 0.857143
12.25 0.857143
12.75 0.857201
13.25 0.853571
13.75 0.848795
14.25 0.842817
14.75 0.836759
15.25 0.831442
15.75 0.824862
16.25 0.818281
16.75 0.811701
17.25 0.806906
17.75 0.800652
18.25 0.795531
18.75 0.792857
19.25 0.789286
19.75 0.788290
20.25 0.785714
20.75 0.785714
21.25 0.782143
21.75 0.782143
22.25 0.782143
22.75 0.782143
23.25 0.782143
23.75 0.785714
24.25 0.785714
24.75 0.785714
25.25 0.782143
25.75 0.778571
26.25 0.776920
26.75 0.775527
27.25 0.778571
27.75 0.780420
28.25 0.782143
28.75 0.782143
29.25 0.785714
29.75 0.785714
30.25 0.785714
30.75 0.785714
31.25 0.785714
31.75 0.785714
32.25 0.788719
32.75 0.789286
33.25 0.791165
33.75 0.792857
34.25 0.794920
34.75 0.792857
35.25 0.792857
35.75 0.790219
