# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 21 16:03:00 CET 2026
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2680, ebeam2 = 2680
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
0.2513 4.8734e+07 -4.3680e+05 1.6222e+08 6.4013e+05 1.6222e+08 3.8499e+07 4.8734e+07 1.5185e+06 9.9138e+07 1.2726e+08 2.4760e+07 1.6222e+08 6.4013e+05
0.5025 8.6522e+07 1.0640e+06 2.5747e+08 1.4512e+06 2.5747e+08 7.8396e+07 8.6522e+07 3.4817e+06 1.5654e+08 1.9852e+08 4.5728e+07 2.5747e+08 1.4512e+06
0.7538 1.1995e+08 1.0580e+06 3.2871e+08 2.6067e+06 3.2829e+08 1.0082e+08 1.3319e+08 6.3702e+06 1.9376e+08 2.6225e+08 6.5101e+07 3.2829e+08 2.6067e+06
1.0050 1.4430e+08 1.4425e+06 3.7428e+08 4.4732e+06 3.7188e+08 1.1503e+08 1.7742e+08 1.1212e+07 2.1066e+08 3.0604e+08 7.9728e+07 3.7188e+08 4.4732e+06
1.2563 1.5442e+08 4.0525e+06 3.8224e+08 8.0696e+06 3.7776e+08 1.1990e+08 1.9939e+08 2.1150e+07 2.0621e+08 3.1337e+08 8.6739e+07 3.7776e+08 8.0696e+06
1.5075 1.5100e+08 1.1533e+07 3.5742e+08 1.5904e+07 3.5191e+08 1.1636e+08 1.9838e+08 4.3264e+07 1.8634e+08 2.8948e+08 8.6282e+07 3.5191e+08 1.5904e+07
1.7588 1.3855e+08 1.9655e+07 3.1418e+08 2.3896e+07 3.0864e+08 1.0708e+08 1.8232e+08 6.1316e+07 1.6025e+08 2.5083e+08 8.0594e+07 3.0864e+08 2.3896e+07
2.0101 1.2187e+08 2.4810e+07 2.6552e+08 2.8619e+07 2.6051e+08 9.4951e+07 1.5948e+08 6.8928e+07 1.3379e+08 2.0921e+08 7.2161e+07 2.6051e+08 2.8619e+07
2.2613 1.0438e+08 2.7446e+07 2.1917e+08 3.0731e+07 2.1489e+08 8.2135e+07 1.3543e+08 6.9883e+07 1.0984e+08 1.7078e+08 6.2876e+07 2.1489e+08 3.0731e+07
2.5126 8.7948e+07 2.7805e+07 1.7857e+08 3.0568e+07 1.7502e+08 6.9928e+07 1.1304e+08 6.6306e+07 8.9424e+07 1.3790e+08 5.3862e+07 1.7502e+08 3.0568e+07
2.7638 7.3415e+07 2.6348e+07 1.4457e+08 2.8623e+07 1.4168e+08 5.8959e+07 9.3475e+07 5.9743e+07 7.2595e+07 1.1089e+08 4.5669e+07 1.4168e+08 2.8623e+07
3.0151 6.0972e+07 2.4268e+07 1.1677e+08 2.6132e+07 1.1443e+08 4.9424e+07 7.6948e+07 5.2715e+07 5.8961e+07 8.9163e+07 3.8488e+07 1.1443e+08 2.6132e+07
