# pT range: 0-36 GeV, 72 bins (width 0.5 GeV), values at bin centers
PtCent R_AA
 0.25 0.561331
 0.75 0.561331
 1.25 0.561331
 1.75 0.561331
 2.25 0.561331
 2.75 0.568711
 3.25 0.612911
 3.75 0.693451
 4.25 0.784470
 4.75 0.855218
 5.25 0.849418
 5.75 0.823098
 6.25 0.800416
 6.75 0.775717
 7.25 0.752453
 7.75 0.730291
 8.25 0.706050
 8.75 0.688046
 9.25 0.673306
 9.75 0.659917
10.25 0.646549
10.75 0.639854
11.25 0.634096
11.75 0.632703
12.25 0.629938
12.75 0.627630
13.25 0.625780
13.75 0.625780
14.25 0.625780
14.75 0.625780
15.25 0.625780
15.75 0.627859
16.25 0.629938
16.75 0.629938
17.25 0.634096
17.75 0.634740
18.25 0.638254
18.75 0.640333
19.25 0.642412
19.75 0.646570
20.25 0.647422
20.75 0.650728
21.25 0.652495
21.75 0.654886
22.25 0.657568
22.75 0.660104
23.25 0.664719
23.75 0.667360
24.25 0.671518
24.75 0.674407
25.25 0.675676
25.75 0.675676
26.25 0.675780
26.75 0.679834
27.25 0.682931
27.75 0.686071
28.25 0.688150
28.75 0.692308
29.25 0.692308
29.75 0.694387
30.25 0.696466
30.75 0.698607
31.25 0.701143
31.75 0.704782
32.25 0.708940
32.75 0.708940
33.25 0.713098
33.75 0.713098
34.25 0.715177
34.75 0.717256
35.25 0.717277
35.75 0.721414
