# PtCent in GeV
PtCent R_AA
0.1 1.01803
0.3 1.0264199999999999
0.5 1.027525
0.7 1.0297049999999999
0.9 1.03355
1.1 1.0379
1.3 1.040635
1.5 1.0439850000000002
1.7 1.04609
1.9 1.0470549999999998
2.1 1.046945
2.3 1.04507
2.5 1.0434299999999999
2.7 1.04176
2.9 1.03596
3.1 1.03331
3.3 1.027405
3.5 1.021605
3.7 1.01395
3.9 1.00667
4.1 0.9967550000000001
4.3 0.988425
4.5 0.97956
4.7 0.971635
4.9 0.967425
5.1 0.9546600000000001
5.3 0.943975
5.5 0.9339850000000001
5.7 0.92241
5.9 0.9147799999999999
6.1 0.90913
6.3 0.90125
6.5 0.89133
6.7 0.8801300000000001
6.9 0.88034
7.1 0.871765
7.3 0.868295
7.5 0.858525
7.7 0.8542449999999999
7.9 0.84501
8.1 0.8416250000000001
8.3 0.8345
8.5 0.83595
8.7 0.831125
8.9 0.8263400000000001
9.1 0.825875
9.3 0.820255
9.5 0.8196049999999999
9.7 0.812855
9.9 0.8122400000000001
10.1 0.80847
10.3 0.808835
10.5 0.812175
10.7 0.8046249999999999
10.9 0.80372
11.1 0.7986949999999999
11.3 0.8005599999999999
11.5 0.79691
11.7 0.794945
11.9 0.7942400000000001
12.1 0.7958799999999999
12.3 0.793805
12.5 0.78531
12.7 0.79291
12.9 0.79315
13.1 0.7861750000000001
13.3 0.7847850000000001
13.5 0.7882549999999999
13.7 0.7929550000000001
13.9 0.78827
14.1 0.785365
14.3 0.79059
14.5 0.784065
14.7 0.79008
14.9 0.79131
15.1 0.786405
15.3 0.789405
15.5 0.782645
15.7 0.7827999999999999
15.9 0.78789
16.1 0.796475
16.3 0.79922
16.5 0.7871699999999999
16.7 0.78869
16.9 0.78955
17.1 0.791105
17.3 0.79365
17.5 0.799185
17.7 0.798235
17.9 0.8002549999999999
18.1 0.79948
18.3 0.8040050000000001
18.5 0.799605
18.7 0.79813
18.9 0.80043
19.1 0.799925
19.3 0.80339
19.5 0.8073
19.7 0.81038
19.9 0.8088500000000001
20.1 0.80894
20.3 0.811025
20.5 0.802605
20.7 0.8062199999999999
20.9 0.80942
21.1 0.803175
21.3 0.8114950000000001
21.5 0.8105800000000001
21.7 0.8067150000000001
21.9 0.8023750000000001
22.1 0.81311
22.3 0.8127599999999999
22.5 0.81147
22.7 0.809875
22.9 0.8090999999999999
23.1 0.809715
23.3 0.813925
23.5 0.810075
23.7 0.80939
23.9 0.80952
24.1 0.806725
24.3 0.80837
24.5 0.8033049999999999
24.7 0.8081
24.9 0.8090550000000001
