# PtCent in GeV
PtCent R_AA
0.1 0.7011375
0.3 0.7334025
0.5 0.7669325
0.7 0.8068975
0.9 0.842545
1.1 0.873445
1.3 0.9004475000000001
1.5 0.9186125
1.7 0.9262900000000001
1.9 0.925905
2.1 0.9205675
2.3 0.90633
2.5 0.8873725
2.7 0.8667975
2.9 0.8430625
3.1 0.8196525
3.3 0.798055
3.5 0.77809
3.7 0.7607375000000001
3.9 0.746795
4.1 0.734495
4.3 0.7236675
4.5 0.7157475
4.7 0.7080775
4.9 0.7020375
5.1 0.6961200000000001
5.3 0.6914575000000001
5.5 0.689095
5.7 0.6863025
5.9 0.6833400000000001
6.1 0.6825375
6.3 0.6815325
6.5 0.6806375
6.7 0.67879
6.9 0.6788325
7.1 0.6794175
7.3 0.67916
7.5 0.6788275
7.7 0.6815725
7.9 0.6819625
8.1 0.6834025
8.3 0.684775
8.5 0.6857975000000001
8.7 0.6872875
8.9 0.689125
9.1 0.69063
9.3 0.6920775
9.5 0.6936424999999999
9.7 0.6951175
9.9 0.6962425
10.1 0.69755
10.3 0.6991975
10.5 0.700285
10.7 0.7015275
10.9 0.70296
11.1 0.7040850000000001
11.3 0.705785
11.5 0.7073525
11.7 0.708985
11.9 0.7100875
